	start_time	end_time	dayOfWeek	size
1812	12.5	14.333333333333334	Tu      	13
1813	12.0	14.833333333333334	MW     	19
1814	15.5	18.333333333333332	TuTh     	17
1815	12.5	15.333333333333334	Th      	12
1816	15.0	17.833333333333332	MW     	17
1817	12.5	15.333333333333334	TuTh     	13
1818	9.0	11.833333333333334	MW     	8
1819	14.0	15.333333333333334	TuTh     	23
1820	10.5	11.833333333333334	MW     	29
1821	11.0	12.333333333333334	TuTh     	28
1822	12.5	15.333333333333334	Tu      	23
1823	9.0	11.833333333333334	F      	17
1824	12.0	14.833333333333334	M      	21
1825	10.0	11.833333333333334	Tu      	20
1826	14.0	15.333333333333334	TuTh     	105
1827	12.0	14.833333333333334	W      	16
1828	15.0	17.833333333333332	MW     	20
1829	12.5	15.333333333333334	TuTh     	21
1830	16.0	16.833333333333332	M      	15
1831	17.0	17.833333333333332	M      	18
1832	9.0	9.833333333333334	F      	16
1833	10.0	10.833333333333334	F      	17
1834	11.0	11.833333333333334	F      	20
1835	16.0	16.833333333333332	Tu      	12
1836	9.0	9.833333333333334	W      	12
1837	13.0	13.833333333333334	F      	13
1838	16.0	17.833333333333332	Tu      	10
1839	9.5	10.833333333333334	MW     	14
1840	11.0	12.333333333333334	MW     	14
1841	14.0	15.333333333333334	MW     	13
1842	8.0	9.333333333333334	MW     	14
1843	14.0	15.333333333333334	MW     	14
1844	15.5	16.833333333333332	MW     	14
1845	8.0	9.333333333333334	TuTh     	13
1846	12.5	13.833333333333334	TuTh     	13
1847	14.0	15.333333333333334	TuTh     	13
1848	12.5	13.833333333333334	MW     	18
1849	15.5	16.833333333333332	MW     	19
1850	17.0	18.333333333333332	MW     	18
1851	11.0	12.333333333333334	TuTh     	18
1852	12.5	13.833333333333334	TuTh     	18
1853	14.0	15.333333333333334	TuTh     	17
